epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,239.286,0.34557,0.2879,0.77817,0.95368,0.99412,0.97878,0.84583,0.53863,0.32582,0.81146,0.0001882,0.0001882,0.0001882
166,240.762,0.34673,0.28602,0.79566,0.97537,0.97988,0.97981,0.84106,0.53119,0.30525,0.80457,0.00018325,0.00018325,0.00018325
167,242.175,0.33515,0.28262,0.7969,0.95987,0.99482,0.98189,0.84738,0.54,0.31323,0.80515,0.0001783,0.0001783,0.0001783
168,243.59,0.33312,0.27104,0.79249,0.95951,0.997,0.98858,0.85672,0.52272,0.30483,0.8024,0.00017335,0.00017335,0.00017335
169,245.031,0.33486,0.26855,0.80521,0.95761,0.99575,0.98983,0.86231,0.51568,0.30904,0.80275,0.0001684,0.0001684,0.0001684
170,246.36,0.32962,0.27465,0.79016,0.95963,0.99479,0.98898,0.86154,0.51483,0.30502,0.80158,0.00016345,0.00016345,0.00016345
171,247.733,0.33492,0.27445,0.79509,0.96269,0.98701,0.98796,0.85774,0.53214,0.31263,0.80453,0.0001585,0.0001585,0.0001585
172,249.22,0.31532,0.2697,0.79249,0.96465,0.98242,0.98448,0.85353,0.53359,0.32356,0.80652,0.00015355,0.00015355,0.00015355
173,250.634,0.33026,0.27347,0.79564,0.96566,0.98811,0.98367,0.85437,0.53776,0.32534,0.81125,0.0001486,0.0001486,0.0001486
174,252.063,0.32891,0.28422,0.79828,0.96935,0.9764,0.98272,0.85703,0.52025,0.30783,0.80816,0.00014365,0.00014365,0.00014365
175,253.52,0.34449,0.27754,0.79193,0.96676,0.97802,0.98372,0.85031,0.53766,0.31856,0.81127,0.0001387,0.0001387,0.0001387
176,254.966,0.33947,0.2793,0.7999,0.96657,0.97739,0.98297,0.84836,0.54812,0.3169,0.81248,0.00013375,0.00013375,0.00013375
177,256.299,0.32248,0.26959,0.79326,0.9704,0.97598,0.98272,0.84569,0.53654,0.31738,0.80917,0.0001288,0.0001288,0.0001288
178,257.711,0.33799,0.27667,0.79953,0.97191,0.97567,0.98272,0.85145,0.53461,0.31143,0.80849,0.00012385,0.00012385,0.00012385
179,259.192,0.32431,0.27378,0.79371,0.97444,0.97538,0.98272,0.8538,0.52659,0.31041,0.80366,0.0001189,0.0001189,0.0001189
